,Unnamed: 0,name,age,market_value,fee,loan,ATT,SKI,MOV,POW,MEN,DEF,GK,league_to_encoded,position_Attacking Midfield,position_Central Midfield,position_Centre-Back,position_Centre-Forward,position_Defensive Midfield,position_Goalkeeper,position_Left Midfield,position_Left Winger,position_Left-Back,position_Right Midfield,position_Right Winger,position_Right-Back,position_Second Striker
224,295,Jakub Kaminski,20,10.0,10.0,False,17.0,15.0,51.0,44.0,32.0,17.0,77.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
225,298,Giulian Biancone,22,4.0,10.0,False,68.0,58.0,73.0,81.0,64.0,28.0,13.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
226,299,Junya Ito,29,7.5,10.0,False,68.0,66.0,81.0,75.0,66.0,24.0,8.0,7,0,0,0,0,0,0,0,0,0,0,1,0,0
227,300,Borja Mayoral,25,9.0,10.0,False,67.0,61.0,67.0,81.0,61.0,30.0,10.0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
228,301,Ademola Lookman,24,10.0,9.2,False,52.0,47.0,57.0,65.0,52.0,74.0,11.0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
229,302,Guglielmo Vicario,25,10.0,8.5,False,67.0,61.0,67.0,81.0,61.0,30.0,10.0,11,0,0,0,0,0,1,0,0,0,0,0,0,0
230,303,Rolando Mandragora,25,10.0,8.2,False,59.0,55.0,70.0,67.0,63.0,76.0,12.0,11,0,0,0,0,1,0,0,0,0,0,0,0,0
231,304,Joe Aribo,25,10.0,7.1,False,66.0,72.0,76.0,72.0,64.0,46.0,11.0,9,0,1,0,0,0,0,0,0,0,0,0,0,0
232,305,Ozan Kabak,22,10.0,7.0,False,70.0,76.0,79.0,65.0,63.0,47.0,10.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
233,306,Gianluca Caprari,28,10.0,5.0,False,56.0,54.0,71.0,72.0,54.0,19.0,9.0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
235,307,Kristjan Asllani,20,10.0,4.5,True,66.0,70.0,85.0,64.0,64.0,42.0,11.0,11,0,0,0,0,1,0,0,0,0,0,0,0,0
236,308,Wilfried Gnonto,18,10.0,4.5,False,60.0,67.0,82.0,61.0,54.0,15.0,10.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
237,310,Hugo Duro,22,10.0,4.0,False,49.0,50.0,61.0,59.0,45.0,62.0,11.0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
238,311,Michy Batshuayi,28,10.0,3.5,False,68.0,61.0,65.0,69.0,56.0,23.0,9.0,14,0,0,0,1,0,0,0,0,0,0,0,0,0
241,315,Aster Vranckx,19,10.0,2.0,True,60.0,65.0,82.0,69.0,65.0,73.0,10.0,11,0,1,0,0,0,0,0,0,0,0,0,0,0
242,319,Pierluigi Gollini,27,10.0,490000.0,True,53.0,55.0,67.0,63.0,64.0,76.0,11.0,11,0,0,0,0,0,1,0,0,0,0,0,0,0
243,321,Alessio Cragno,28,10.0,400000.0,True,75.0,79.0,73.0,77.0,74.0,75.0,11.0,11,0,0,0,0,0,1,0,0,0,0,0,0,0
244,322,Stefan Posch,25,10.0,350000.0,True,63.0,69.0,73.0,74.0,71.0,81.0,12.0,11,0,0,0,0,0,0,0,0,0,0,0,1,0
245,324,Serhou Guirassy,26,10.0,0.0,True,66.0,78.0,76.0,72.0,69.0,50.0,12.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
246,325,Ivan Perisic,33,10.0,0.0,False,70.0,66.0,73.0,72.0,64.0,36.0,12.0,9,0,0,0,0,0,0,1,0,0,0,0,0,0
247,326,Allan,31,10.0,0.0,False,72.0,73.0,69.0,73.0,66.0,32.0,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
248,328,Amine Harit,25,10.0,0.0,True,62.0,58.0,72.0,70.0,53.0,19.0,12.0,7,1,0,0,0,0,0,0,0,0,0,0,0,0
249,329,Ander Herrera,33,10.0,0.0,True,67.0,60.0,70.0,72.0,62.0,30.0,8.0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
250,330,Alex Mowatt,27,10.0,0.0,True,56.0,61.0,79.0,67.0,53.0,22.0,10.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
251,331,Cyle Larin,27,10.0,0.0,False,21.0,28.0,56.0,52.0,36.0,19.0,80.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
252,332,Federico Bernardeschi,28,10.0,0.0,False,53.0,61.0,70.0,53.0,63.0,53.0,8.0,8,0,0,0,0,0,0,0,0,0,0,1,0,0
253,335,Ahmetcan Kaplan,19,2.8,9.5,False,66.0,63.0,75.0,65.0,57.0,28.0,12.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
254,339,Lewis O'Brien,23,3.5,9.4,False,66.0,75.0,80.0,72.0,70.0,69.0,14.0,9,0,1,0,0,0,0,0,0,0,0,0,0,0
255,340,Alphonse Areola,29,8.0,9.3,False,43.0,49.0,64.0,56.0,54.0,74.0,8.0,9,0,0,0,0,0,1,0,0,0,0,0,0,0
256,341,Brandon Soppy,20,5.0,9.1,False,61.0,72.0,70.0,65.0,61.0,56.0,9.0,11,0,0,0,0,0,0,0,0,0,0,0,1,0
257,342,Gabriel Slonina,18,3.0,9.09,False,65.0,64.0,71.0,71.0,64.0,72.0,12.0,9,0,0,0,0,0,1,0,0,0,0,0,0,0
259,343,Christopher Wooh,20,3.0,9.0,False,75.0,66.0,58.0,75.0,70.0,21.0,11.0,7,0,0,1,0,0,0,0,0,0,0,0,0,0
260,344,Andrea Colpani,23,2.4,9.0,False,61.0,65.0,69.0,67.0,67.0,73.0,8.0,11,1,0,0,0,0,0,0,0,0,0,0,0,0
261,346,Andreas Cornelius,29,9.0,6.0,False,49.0,53.0,61.0,59.0,55.0,52.0,12.0,13,0,0,0,1,0,0,0,0,0,0,0,0,0
262,347,Adam Buksa,25,9.0,6.0,False,60.0,56.0,70.0,66.0,50.0,15.0,12.0,7,0,0,0,1,0,0,0,0,0,0,0,0,0
263,348,Kevin Mbabu,27,9.0,5.5,False,69.0,74.0,72.0,77.0,72.0,73.0,12.0,9,0,0,0,0,0,0,0,0,0,0,0,1,0
264,349,Bernd Leno,30,9.0,3.6,False,68.0,65.0,71.0,78.0,63.0,32.0,10.0,9,0,0,0,0,0,1,0,0,0,0,0,0,0
265,350,Kristijan Jakic,25,9.0,3.5,False,56.0,60.0,69.0,62.0,57.0,48.0,10.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
266,351,Anwar El Ghazi,27,9.0,2.5,False,63.0,71.0,75.0,70.0,69.0,74.0,12.0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
267,352,Predrag Rajkovic,26,9.0,2.0,False,62.0,59.0,70.0,75.0,66.0,40.0,12.0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
268,353,Nikola Moro,24,9.0,1.5,True,52.0,61.0,53.0,68.0,67.0,81.0,13.0,11,0,0,0,0,1,0,0,0,0,0,0,0,0
269,354,Ricardo Pepi,19,9.0,500000.0,True,59.0,65.0,71.0,70.0,64.0,70.0,10.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
270,355,Luca Pellegrini,23,9.0,0.0,True,77.0,75.0,80.0,72.0,74.0,73.0,10.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
271,357,Freddie Woodman,25,9.0,0.0,False,55.0,60.0,81.0,62.0,50.0,22.0,9.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
272,360,Ilaix Moriba,19,9.0,0.0,True,68.0,70.0,60.0,77.0,67.0,63.0,10.0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
273,364,Malick Thiaw,21,6.0,8.8,False,57.0,71.0,74.0,60.0,57.0,44.0,12.0,11,0,0,1,0,0,0,0,0,0,0,0,0,0
274,365,Ritsu Doan,24,8.0,8.5,False,71.0,61.0,62.0,76.0,68.0,36.0,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
275,366,Omar Richards,24,7.0,8.5,False,61.0,63.0,74.0,61.0,65.0,70.0,11.0,9,0,0,0,0,0,0,0,0,1,0,0,0,0
276,367,Giulio Maggiore,24,8.5,3.5,False,66.0,63.0,67.0,66.0,55.0,24.0,9.0,11,0,1,0,0,0,0,0,0,0,0,0,0,0
277,369,Jens Petter Hauge,22,8.0,8.2,False,51.0,55.0,56.0,56.0,62.0,69.0,10.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
279,370,Vedat Muriqi,28,7.0,8.02,False,19.0,19.0,54.0,46.0,29.0,13.0,74.0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
280,371,Nathan Ngoumou,22,2.5,8.0,False,65.0,66.0,64.0,71.0,65.0,59.0,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
281,372,Alexander Bah,24,7.0,8.0,False,37.0,37.0,55.0,48.0,48.0,67.0,9.0,6,0,0,0,0,0,0,0,0,0,0,0,1,0
282,375,Simon Adingra,20,1.5,8.0,False,66.0,63.0,77.0,71.0,58.0,23.0,10.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
283,378,Kaiky,18,8.0,7.0,False,65.0,66.0,60.0,75.0,70.0,68.0,12.0,5,0,0,1,0,0,0,0,0,0,0,0,0,0
284,379,Lucas Alario,29,8.0,6.0,False,68.0,65.0,75.0,73.0,60.0,32.0,10.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
285,380,Flavius Daniliuc,21,8.0,5.8,False,46.0,50.0,56.0,55.0,52.0,73.0,11.0,11,0,0,1,0,0,0,0,0,0,0,0,0,0
286,381,Patrick Wimmer,21,8.0,5.0,False,52.0,50.0,72.0,60.0,56.0,77.0,12.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
287,383,Anders Dreyer,24,8.0,5.0,False,43.0,51.0,60.0,61.0,50.0,71.0,9.0,13,0,0,0,0,0,0,0,0,0,0,1,0,0
288,385,Denis Bouanga,27,8.0,4.55,False,58.0,65.0,79.0,62.0,61.0,77.0,12.0,8,0,0,0,0,0,0,0,1,0,0,0,0,0
289,386,Enis Bardhi,27,8.0,3.0,False,61.0,67.0,72.0,70.0,67.0,73.0,11.0,14,1,0,0,0,0,0,0,0,0,0,0,0,0
290,387,Kastriot Imeri,22,8.0,3.0,False,64.0,62.0,70.0,76.0,60.0,26.0,7.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
291,389,Haris Seferovic,30,8.0,1.0,True,67.0,75.0,67.0,75.0,71.0,67.0,10.0,14,0,0,0,1,0,0,0,0,0,0,0,0,0
292,390,Malang Sarr,23,8.0,1.0,True,69.0,63.0,77.0,72.0,63.0,28.0,10.0,7,0,0,1,0,0,0,0,0,0,0,0,0,0
293,393,Alejandro Pozuelo,30,8.0,136000.0,False,59.0,61.0,74.0,76.0,68.0,76.0,9.0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
294,394,Jordan Larsson,25,8.0,0.0,False,47.0,52.0,53.0,60.0,53.0,76.0,11.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
295,396,Henrikh Mkhitaryan,33,8.0,0.0,False,72.0,66.0,77.0,77.0,67.0,30.0,10.0,11,0,1,0,0,0,0,0,0,0,0,0,0,0
298,399,Christos Tzolis,20,8.0,0.0,True,53.0,51.0,67.0,76.0,60.0,70.0,12.0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
299,401,Kacper Kozlowski,18,8.0,0.0,True,65.0,74.0,70.0,71.0,69.0,76.0,11.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
300,403,Tyler Roberts,23,8.0,0.0,True,70.0,73.0,50.0,69.0,73.0,77.0,11.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
301,404,Zinho Vanheusden,22,8.0,0.0,True,60.0,65.0,75.0,71.0,66.0,63.0,10.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
302,405,Abdallah Sima,21,8.0,0.0,True,52.0,52.0,59.0,57.0,60.0,72.0,11.0,7,0,0,0,0,0,0,0,0,0,0,1,0,0
303,407,Marco Carnesecchi,22,8.0,0.0,True,46.0,46.0,60.0,58.0,57.0,78.0,11.0,11,0,0,0,0,0,1,0,0,0,0,0,0,0
304,409,Munir El Haddadi,26,8.0,0.0,False,68.0,75.0,68.0,76.0,75.0,71.0,11.0,5,0,0,0,0,0,0,0,0,0,0,1,0,0
305,410,Reinier,20,8.0,0.0,True,63.0,58.0,69.0,71.0,59.0,28.0,12.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
306,413,Bartol Franjic,22,4.5,7.5,False,50.0,46.0,41.0,68.0,60.0,74.0,11.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
307,414,Takefusa Kubo,21,7.5,6.5,False,61.0,66.0,71.0,70.0,62.0,70.0,10.0,5,0,0,0,0,0,0,0,0,0,0,1,0,0
308,415,Guus Til,24,7.5,3.0,False,68.0,71.0,66.0,73.0,70.0,69.0,10.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
309,416,Ezgjan Alioski,30,7.5,0.0,True,59.0,72.0,67.0,61.0,68.0,70.0,10.0,14,0,0,0,0,0,0,0,0,1,0,0,0,0
310,420,Quinten Timber,21,4.0,7.4,False,48.0,54.0,66.0,61.0,57.0,70.0,12.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
311,422,Perr Schuurs,22,7.0,9.4,False,59.0,66.0,74.0,63.0,66.0,63.0,7.0,11,0,0,1,0,0,0,0,0,0,0,0,0,0
