,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
1370,Sidnei,Centre-Back,32,2.0,Brazil,Série A,Goiás EC,Spain,LaLiga SmartBank,UD Las Palmas,0,False
1371,Will Smallbone,Central Midfield,22,2.0,England,Premier League,Southampton FC,England,Championship,Stoke City,0,True
1372,Tariqe Fosu,Left Winger,26,2.0,England,Premier League,Brentford FC,England,Championship,Stoke City,0,True
1373,Giorgi Chakvetadze,Attacking Midfield,22,2.0,Belgium,Jupiler Pro League,KAA Gent,Slovakia,Fortuna Liga,Slovan Bratislava,0,True
1374,Maximiliano Lovera,Left Winger,23,2.0,Greece,Super League 1,Olympiacos Piraeus,Greece,Super League 1,Ionikos Nikeas,0,True
1375,Christian Luyindama,Centre-Back,28,2.0,Türkiye,Süper Lig,Galatasaray,Türkiye,Süper Lig,Antalyaspor,0,True
1376,Sheyi Ojo,Right Winger,25,2.0,England,Premier League,Liverpool FC,Wales,Championship,Cardiff City,0,False
1377,Mahlon Romeo,Right-Back,26,2.0,England,Championship,Millwall FC,Wales,Championship,Cardiff City,0,False
1378,Andre Gray,Centre-Forward,31,2.0,England,Championship,Watford FC,Greece,Super League 1,Aris Thessaloniki,0,False
1379,Rafael Camacho,Right Winger,22,2.0,Portugal,Liga Portugal,Sporting CP,Greece,Super League 1,Aris Thessaloniki,0,True
1380,Arturo Vidal,Central Midfield,35,2.0,Italy,Serie A,Inter Milan,Brazil,Série A,CR Flamengo,0,False
1381,Thomas Delaine,Left-Back,30,2.0,France,Ligue 2,FC Metz,France,Ligue 1,RC Strasbourg Alsace,0,False
1382,Josh Bowler,Right Winger,23,2.0,England,Premier League,Nottingham Forest,Greece,Super League 1,Olympiacos Piraeus,0,True
1383,Jean-Daniel Akpa Akpro,Central Midfield,29,2.0,Italy,Serie A,SS Lazio,Italy,Serie A,FC Empoli,0,True
1384,Lucas Mineiro,Defensive Midfield,26,2.0,Portugal,Liga Portugal,SC Braga,Belgium,Jupiler Pro League,KVC Westerlo,0,True
1385,Gianluca Frabotta,Left-Back,23,2.0,Italy,Serie A,Juventus FC,Italy,Serie A,US Lecce,0,True
1386,Josh Koroma,Left Winger,23,2.0,England,Championship,Huddersfield Town,England,League One,Portsmouth FC,0,True
1387,Benik Afobe,Centre-Forward,29,2.0,England,Championship,Stoke City,England,Championship,Millwall FC,0,False
1388,Jonathan Menéndez,Left Winger,28,2.0,United States,MLS,Real Salt Lake City,Argentina,Liga Profesional,CA Vélez Sarsfield,0,True
1389,Andrés Roa,Attacking Midfield,29,2.0,Argentina,Liga Profesional,CA Independiente,Argentina,Liga Profesional,AA Argentinos Juniors,0,False
1390,Cauley Woodrow,Centre-Forward,27,2.0,England,League One,Barnsley FC,England,Championship,Luton Town,0,False
1391,Will Vaulks,Defensive Midfield,28,2.0,Wales,Championship,Cardiff City,England,League One,Sheffield Wednesday,0,False
1392,Maxime Leverbe,Centre-Back,25,2.0,Italy,Serie B,Pisa Sporting Club,Italy,Serie A,UC Sampdoria,0,True
1393,Bruno Amione,Centre-Back,20,2.0,Italy,Serie A,Hellas Verona,Italy,Serie A,UC Sampdoria,0,True
1394,Jake Clarke-Salter,Centre-Back,24,2.0,England,Premier League,Chelsea FC,England,Championship,Queens Park Rangers,0,False
1395,Rafa Soares,Left-Back,27,2.0,Portugal,Liga Portugal,Vitória Guimarães SC,Greece,Super League 1,PAOK Thessaloniki,0,False
1396,Papa Ndiaga Yade,Left Winger,22,2.0,France,Ligue 2,FC Metz,France,Ligue 1,ESTAC Troyes,0,True
1397,Rober González,Attacking Midfield,21,2.0,Spain,LaLiga,Real Betis Balompié,Spain,LaLiga SmartBank,Deportivo Alavés,0,True
1398,Youssouf Koné,Left-Back,27,2.0,France,Ligue 1,Olympique Lyon,France,Ligue 1,AC Ajaccio,0,True
1399,Charlie Patino,Central Midfield,18,2.0,England,Premier League 2,Arsenal FC U21,England,Championship,Blackpool FC,0,True
1400,Ian Poveda,Right Winger,22,2.0,England,Premier League,Leeds United,England,Championship,Blackpool FC,0,True
1401,Omar Al-Somah,Centre-Forward,33,2.0,Saudi Arabia,Without League,Al-Ahli SFC,Qatar,Stars League,Al-Arabi SC,0,True
1402,Mubarak Wakaso,Central Midfield,32,2.0,China,Super League,Shenzhen FC,Belgium,Jupiler Pro League,KAS Eupen,0,True
1403,Juan Brunetta,Attacking Midfield,25,2.0,Argentina,Liga Profesional,CD Godoy Cruz Antonio Tomba,Mexico,Liga MX Apertura,Santos Laguna,0,True
1404,Yahia Fofana,Goalkeeper,21,2.0,France,Ligue 2,Le Havre AC,France,Ligue 1,Angers SCO,0,False
1405,Miha Blazic,Centre-Back,29,2.0,Hungary,NB I.,Ferencvárosi TC,France,Ligue 1,Angers SCO,0,False
1406,Ibrahim Amadou,Defensive Midfield,29,2.0,France,Ligue 2,FC Metz,France,Ligue 1,Angers SCO,0,False
1407,Carlos Clerc,Left-Back,30,2.0,Spain,LaLiga SmartBank,Levante UD,Spain,LaLiga,Elche CF,0,False
1408,Luca Zidane,Goalkeeper,24,2.0,Spain,LaLiga,Rayo Vallecano,Spain,LaLiga SmartBank,SD Eibar,0,False
1409,Domagoj Pavicic,Central Midfield,28,2.0,Croatia,SuperSport HNL,HNK Rijeka,Türkiye,Süper Lig,Konyaspor,0,False
1410,Xavi Quintillà,Left-Back,25,2.0,Spain,LaLiga,Villarreal CF,Portugal,Liga Portugal,CD Santa Clara,0,False
1411,Tomás Araújo,Centre-Back,20,2.0,Portugal,Liga Portugal,SL Benfica,Portugal,Liga Portugal,Gil Vicente FC,0,True
1412,Federico Ricca,Centre-Back,27,2.0,Belgium,Jupiler Pro League,Club Brugge KV,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,0,False
1413,Abdulkadir Parmak,Central Midfield,27,2.0,Türkiye,Süper Lig,Trabzonspor,Türkiye,Süper Lig,Gaziantep FK,0,True
1414,Filippo Melegoni,Central Midfield,23,2.0,Italy,Serie B,Genoa CFC,Belgium,Jupiler Pro League,Standard Liège,0,True
1415,Yassine Meriah,Centre-Back,29,2.0,United Arab Emirates,UAE Pro League,Al-Ain FC,Tunisia,Ligue I Pro,Esperance Tunis,0,False
1416,Vicente Iborra,Defensive Midfield,34,2.0,Spain,LaLiga,Villarreal CF,Spain,LaLiga SmartBank,Levante UD,0,True
