,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
194,Pierre-Emerick Aubameyang,Centre-Forward,33,15.0,Spain,LaLiga,FC Barcelona,England,Premier League,Chelsea FC,12.0,False
195,Nick Pope,Goalkeeper,30,15.0,England,Championship,Burnley FC,England,Premier League,Newcastle United,11.5,False
196,Mattias Svanberg,Central Midfield,23,15.0,Italy,Serie A,Bologna FC 1909,Germany,Bundesliga,VfL Wolfsburg,9.5,False
197,Jonathan Clauss,Right-Back,29,15.0,France,Ligue 1,RC Lens,France,Ligue 1,Olympique Marseille,7.5,False
198,Arthur Theate,Centre-Back,22,15.0,Belgium,Jupiler Pro League,KV Oostende,Italy,Serie A,Bologna FC 1909,6.75,False
199,Konstantinos Mavropanos,Centre-Back,24,15.0,England,Premier League,Arsenal FC,Germany,Bundesliga,VfB Stuttgart,3.2,False
200,Fábio Silva,Centre-Forward,20,15.0,England,Premier League,Wolverhampton Wanderers,Belgium,Jupiler Pro League,RSC Anderlecht,0,True
201,Nuno Tavares,Left-Back,22,15.0,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,0,True
202,Amad Diallo,Right Winger,20,15.0,England,Premier League,Manchester United,England,Championship,Sunderland AFC,0,True
203,Harry Winks,Defensive Midfield,26,15.0,England,Premier League,Tottenham Hotspur,Italy,Serie A,UC Sampdoria,0,True
204,Alexandre Lacazette,Centre-Forward,31,15.0,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Lyon,0,False
205,Corentin Tolisso,Central Midfield,27,15.0,Germany,Bundesliga,Bayern Munich,France,Ligue 1,Olympique Lyon,0,False
206,Justin Kluivert,Left Winger,23,15.0,Italy,Serie A,AS Roma,Spain,LaLiga,Valencia CF,0,True
207,Emmanuel Dennis,Left Winger,24,14.0,England,Championship,Watford FC,England,Premier League,Nottingham Forest,14.8,False
208,Djed Spence,Right-Back,21,8.0,England,Championship,Middlesbrough FC,England,Premier League,Tottenham Hotspur,14.7,False
209,Diego Rossi,Left Winger,24,14.5,United States,MLS,Los Angeles FC,Türkiye,Süper Lig,Fenerbahce,5.5,False
210,Gavin Bazunu,Goalkeeper,20,5.0,England,Premier League 2,Manchester City U21,England,Premier League,Southampton FC,14.0,False
211,Mohamed Bayo,Centre-Forward,24,12.0,France,Ligue 1,Clermont Foot 63,France,Ligue 1,LOSC Lille,14.0,False
212,Marcão,Centre-Back,26,14.0,Türkiye,Süper Lig,Galatasaray,Spain,LaLiga,Sevilla FC,13.0,False
213,Sebastian Szymanski,Attacking Midfield,23,14.0,Russia,Premier Liga,Dynamo Moscow,Netherlands,Eredivisie,Feyenoord Rotterdam,2.0,True
214,Wout Weghorst,Centre-Forward,29,14.0,England,Championship,Burnley FC,Türkiye,Süper Lig,Besiktas JK,0,True
215,Walter Benítez,Goalkeeper,29,14.0,France,Ligue 1,OGC Nice,Netherlands,Eredivisie,PSV Eindhoven,0,False
216,Kayky,Right Winger,19,14.0,England,Premier League 2,Manchester City U21,Portugal,Liga Portugal,FC Paços de Ferreira,0,True
217,Yangel Herrera,Central Midfield,24,14.0,England,Premier League,Manchester City,Spain,LaLiga,Girona FC,0,True
218,Jason Denayer,Centre-Back,27,14.0,France,Ligue 1,Olympique Lyon,United Arab Emirates,UAE Pro League,Shabab Al-Ahli Club,0,False
219,Fredrik Aursnes,Central Midfield,26,12.0,Netherlands,Eredivisie,Feyenoord Rotterdam,Portugal,Liga Portugal,SL Benfica,13.0,False
220,Lucas Gourna-Douath,Defensive Midfield,18,10.0,France,Ligue 2,AS Saint-Étienne,Austria,Bundesliga,Red Bull Salzburg,13.0,False
221,Mattia Viti,Centre-Back,20,7.0,Italy,Serie A,FC Empoli,France,Ligue 1,OGC Nice,13.0,False
222,Salih Özcan,Defensive Midfield,24,13.0,Germany,Bundesliga,1.FC Köln,Germany,Bundesliga,Borussia Dortmund,5.0,False
223,James Rodríguez,Attacking Midfield,31,13.0,Qatar,Stars League,Al-Rayyan SC,Greece,Super League 1,Olympiacos Piraeus,0,False
224,Calvin Stengs,Attacking Midfield,23,13.0,France,Ligue 1,OGC Nice,Belgium,Jupiler Pro League,Royal Antwerp FC,0,True
225,Ethan Ampadu,Defensive Midfield,21,13.0,England,Premier League,Chelsea FC,Italy,Serie A,Spezia Calcio,0,True
226,Jørgen Strand Larsen,Centre-Forward,22,6.0,Netherlands,Eredivisie,FC Groningen,Spain,LaLiga,Celta de Vigo,12.4,False
227,Pau López,Goalkeeper,27,12.0,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,12.0,False
228,Marc Roca,Defensive Midfield,25,7.0,Germany,Bundesliga,Bayern Munich,England,Premier League,Leeds United,12.0,False
229,Alexis Beka Beka,Defensive Midfield,21,3.0,Russia,Premier Liga,Lokomotiv Moscow,France,Ligue 1,OGC Nice,12.0,False
230,Stanley Nsoki,Centre-Back,23,7.0,Belgium,Jupiler Pro League,Club Brugge KV,Germany,Bundesliga,TSG 1899 Hoffenheim,12.0,False
231,Chris Richards,Centre-Back,22,7.5,Germany,Bundesliga,Bayern Munich,England,Premier League,Crystal Palace,12.0,False
232,Agustín Álvarez,Centre-Forward,21,4.0,Uruguay,Primera División Clausura,CA Peñarol,Italy,Serie A,US Sassuolo,12.0,False
233,Luís Maximiano,Goalkeeper,23,12.0,Spain,LaLiga SmartBank,Granada CF,Italy,Serie A,SS Lazio,10.5,False
234,Luiz Henrique,Right Winger,21,12.0,Brazil,Série A,Fluminense Football Club,Spain,LaLiga,Real Betis Balompié,10.4,False
235,Gabriel Veron,Right Winger,19,12.0,Brazil,Série A,Sociedade Esportiva Palmeiras,Portugal,Liga Portugal,FC Porto,10.34,False
236,Willian José,Centre-Forward,30,12.0,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Real Betis Balompié,10.0,False
237,Owen Wijndal,Left-Back,22,12.0,Netherlands,Eredivisie,AZ Alkmaar,Netherlands,Eredivisie,Ajax Amsterdam,10.0,False
238,Marko Grujic,Defensive Midfield,26,12.0,England,Premier League,Liverpool FC,Portugal,Liga Portugal,FC Porto,9.0,False
239,Samuele Ricci,Defensive Midfield,20,12.0,Italy,Serie A,FC Empoli,Italy,Serie A,Torino FC,8.5,False
240,Billy Gilmour,Defensive Midfield,21,12.0,England,Premier League,Chelsea FC,England,Premier League,Brighton & Hove Albion,8.3,False
241,Angelo Fulgini,Attacking Midfield,25,12.0,France,Ligue 1,Angers SCO,Germany,Bundesliga,1.FSV Mainz 05,6.0,False
242,Fábio Carvalho,Attacking Midfield,19,12.0,England,Premier League,Fulham FC,England,Premier League,Liverpool FC,5.9,False
243,João Pedro,Centre-Forward,30,12.0,Italy,Serie B,Cagliari Calcio,Türkiye,Süper Lig,Fenerbahce,4.68,False
244,Idrissa Gueye,Central Midfield,32,12.0,France,Ligue 1,Paris Saint-Germain,England,Premier League,Everton FC,4.0,False
245,Sérgio Oliveira,Central Midfield,30,12.0,Portugal,Liga Portugal,FC Porto,Türkiye,Süper Lig,Galatasaray,3.0,False
246,Maxi Gómez,Centre-Forward,26,12.0,Spain,LaLiga,Valencia CF,Türkiye,Süper Lig,Trabzonspor,3.0,False
247,Andrea Petagna,Centre-Forward,27,12.0,Italy,Serie A,SSC Napoli,Italy,Serie A,AC Monza,2.5,True
248,Boulaye Dia,Centre-Forward,25,12.0,Spain,LaLiga,Villarreal CF,Italy,Serie A,US Salernitana 1919,1.0,True
249,Krzysztof Piatek,Centre-Forward,27,12.0,Germany,Bundesliga,Hertha BSC,Italy,Serie A,US Salernitana 1919,1.0,True
250,Răzvan Marin,Central Midfield,26,12.0,Italy,Serie B,Cagliari Calcio,Italy,Serie A,FC Empoli,1.0,True
251,Divock Origi,Centre-Forward,27,12.0,England,Premier League,Liverpool FC,Italy,Serie A,AC Milan,0,False
252,André Onana,Goalkeeper,26,12.0,Netherlands,Eredivisie,Ajax Amsterdam,Italy,Serie A,Inter Milan,0,False
253,Marcos Alonso,Left-Back,31,12.0,England,Premier League,Chelsea FC,Spain,LaLiga,FC Barcelona,0,False
254,Clément Lenglet,Centre-Back,27,12.0,Spain,LaLiga,FC Barcelona,England,Premier League,Tottenham Hotspur,0,True
255,Adnan Januzaj,Right Winger,27,12.0,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Sevilla FC,0,False
256,Ángel Di María,Right Winger,34,12.0,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,Juventus FC,0,False
257,Loïc Badé,Centre-Back,22,12.0,France,Ligue 1,Stade Rennais FC,England,Premier League,Nottingham Forest,0,True
258,Sam Johnstone,Goalkeeper,29,12.0,England,Championship,West Bromwich Albion,England,Premier League,Crystal Palace,0,False
259,Taty Castellanos,Centre-Forward,23,12.0,United States,MLS,New York City FC,Spain,LaLiga,Girona FC,0,True
260,Marcus Tavernier,Left Winger,23,4.5,England,Championship,Middlesbrough FC,England,Premier League,AFC Bournemouth,11.9,False
261,Julio Enciso,Second Striker,18,11.0,Paraguay,Primera División Clausura,Club Libertad Asunción,England,Premier League,Brighton & Hove Albion,11.6,False
262,Armel Bella-Kotchap,Centre-Back,20,10.0,Germany,Bundesliga,VfL Bochum,England,Premier League,Southampton FC,11.0,False
263,Joshua Zirkzee,Centre-Forward,21,11.0,Germany,Bundesliga,Bayern Munich,Italy,Serie A,Bologna FC 1909,8.5,False
264,Matheus Henrique,Central Midfield,24,11.0,Brazil,Série B,Grêmio Foot-Ball Porto Alegrense,Italy,Serie A,US Sassuolo,7.0,False
