,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
140,Trincão,Left Winger,22,20.0,Spain,LaLiga,FC Barcelona,Portugal,Liga Portugal,Sporting CP,3.0,True
141,Antonín Barák,Attacking Midfield,27,20.0,Italy,Serie A,Hellas Verona,Italy,Serie A,ACF Fiorentina,1.46,True
142,Andrea Belotti,Centre-Forward,28,20.0,Italy,Serie A,Torino FC,Italy,Serie A,AS Roma,0,False
143,Noussair Mazraoui,Right-Back,24,20.0,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Bayern Munich,0,False
144,Héctor Bellerín,Right-Back,27,20.0,England,Premier League,Arsenal FC,Spain,LaLiga,FC Barcelona,0,False
145,Christian Eriksen,Central Midfield,30,20.0,England,Premier League,Brentford FC,England,Premier League,Manchester United,0,False
146,Nico González,Central Midfield,20,20.0,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Valencia CF,0,True
147,Andrea Pinamonti,Centre-Forward,23,20.0,Italy,Serie A,Inter Milan,Italy,Serie A,US Sassuolo,0,True
148,Arthur Theate,Centre-Back,22,15.0,Italy,Serie A,Bologna FC 1909,France,Ligue 1,Stade Rennais FC,19.0,False
149,Hassane Kamara,Left-Back,28,4.0,England,Championship,Watford FC,Italy,Serie A,Udinese Calcio,19.0,False
